,0,1,2,3,4,5,6,7
Spider-Man: Into the Spider-Verse,1,Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi
Jerry Maguire,1,Comedy,Drama,Romance,Sport,,,
Sweet & Sour,1,Comedy,Romance,,,,,
Emily the Criminal,1,Crime,Drama,Thriller,,,,
Shutter Island,1,Mystery,Thriller,,,,,
When We First Met,1,Comedy,Fantasy,Romance,,,,
The Guernsey Literary and Potato Peel Pie Society,1,Drama,Romance,War,,,,
Leap Year,1,Comedy,Romance,,,,,
"tick, tick...BOOM!",1,Biography,Comedy,Drama,Musical,,,
Set It Up,1,Comedy,Romance,,,,,
Glass Onion: A Knives Out Mystery,1,Comedy,Crime,Drama,Mystery,Thriller,,
17 Again,1,Comedy,Drama,Fantasy,Romance,Sport,,
Wish Dragon,1,Animation,Adventure,Comedy,Family,Fantasy,Romance,
I Am Vanessa Guillen,1,Documentary,Crime,,,,,
Ghislaine Maxwell: Filthy Rich,1,Documentary,Crime,,,,,
El Camino: A Breaking Bad Movie,1,Action,Crime,Drama,Thriller,,,
